GAME_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,START_POSITION,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,PF,PLUS_MINUS,EFFICIENCY,TRUE_SHOOTING_PCT,AST_TO_RATIO,THREE_POINT_RATE,FREE_THROW_RATE
42500404,1610612759,SAS,1642844,Dylan Harper,,32:16,21.0,4.0,3.0,0.0,0.0,3.0,8.0,12.0,0.667,3.0,6.0,0.5,2.0,2.0,1.0,0.0,4.0,3.0,12.0,21.0,0.8152173913043478,1.0,0.5,0.16666666666666666
42500404,1610612759,SAS,1629640,Keldon Johnson,,18:02,2.0,4.0,1.0,1.0,0.0,0.0,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-1.0,4.0,0.2,,0.2,0.0
42500404,1610612759,SAS,1628436,Luke Kornet,,4:05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,1.0,,,,
42500404,1610612759,SAS,1642868,Carter Bryant,,5:00,5.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.8333333333333334,,0.3333333333333333,0.0
42500404,1610612759,SAS,203084,Harrison Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
42500404,1610612759,SAS,202687,Bismack Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
42500404,1610612759,SAS,1629162,Jordan McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
42500404,1610612759,SAS,203482,Kelly Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
42500404,1610612759,SAS,203486,Mason Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
42500404,1610612759,SAS,1630322,Lindy Waters III,,,,,,,,,,,,,,,,,,,,,,,,,,
42500404,1610612752,NYK,1628384,OG Anunoby,F,41:28,33.0,4.0,1.0,1.0,1.0,1.0,10.0,15.0,0.667,7.0,9.0,0.778,6.0,6.0,1.0,1.0,3.0,2.0,-1.0,34.0,0.9353741496598639,1.0,0.6,0.4
42500404,1610612752,NYK,1628404,Josh Hart,F,32:48,6.0,8.0,6.0,2.0,0.0,2.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,3.0,0.333,2.0,6.0,3.0,11.0,16.0,0.5639097744360902,3.0,0.5,0.75
42500404,1610612752,NYK,1626157,Karl-Anthony Towns,C,25:45,13.0,10.0,2.0,0.0,0.0,3.0,4.0,5.0,0.8,1.0,1.0,1.0,4.0,4.0,1.0,2.0,8.0,4.0,17.0,21.0,0.9615384615384616,0.6666666666666666,0.2,0.8
42500404,1610612752,NYK,1628969,Mikal Bridges,G,28:07,7.0,2.0,2.0,0.0,0.0,0.0,3.0,9.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,5.0,0.3888888888888889,,0.3333333333333333,0.0
42500404,1610612752,NYK,1628973,Jalen Brunson,G,44:27,36.0,5.0,7.0,3.0,0.0,3.0,12.0,25.0,0.48,3.0,7.0,0.429,9.0,11.0,0.818,0.0,5.0,1.0,11.0,33.0,0.6032171581769437,2.3333333333333335,0.28,0.44
42500404,1610612752,NYK,1629011,Mitchell Robinson,,12:59,2.0,5.0,1.0,0.0,2.0,1.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,1.0,-14.0,1.0,0.14792899408284024,1.0,0.0,0.8
42500404,1610612752,NYK,1629013,Landry Shamet,,20:30,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-13.0,0.0,0.0,,0.6666666666666666,0.0
42500404,1610612752,NYK,1630574,Ariel Hukporti,,3:27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,,,,
42500404,1610612752,NYK,1630631,Jose Alvarado,,15:38,8.0,2.0,3.0,0.0,0.0,1.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,5.0,11.0,11.0,1.0,3.0,0.75,0.0
42500404,1610612752,NYK,1630540,Miles McBride,,7:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-4.0,0.0,,1.0,0.0
42500404,1610612752,NYK,1631110,Jeremy Sochan,,2:60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-1.0,0.0,,0.0,0.0
42500404,1610612752,NYK,203903,Jordan Clarkson,,4:40,2.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,-1.0,0.3333333333333333,0.0,0.3333333333333333,0.0
42500404,1610612752,NYK,1642359,Pacôme Dadiet,,,,,,,,,,,,,,,,,,,,,,,,,,
42500404,1610612752,NYK,1642885,Mohamed Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,
42500404,1610612752,NYK,1642278,Tyler Kolek,,,,,,,,,,,,,,,,,,,,,,,,,,
42500405,1610612752,NYK,1628404,Josh Hart,F,39:10,13.0,11.0,2.0,0.0,0.0,1.0,4.0,11.0,0.364,3.0,6.0,0.5,2.0,3.0,0.667,3.0,8.0,3.0,15.0,17.0,0.5275974025974026,2.0,0.5454545454545454,0.2727272727272727
