GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0042500403,1610612752,NYK,New York,1626157,Karl-Anthony Towns,Karl-Anthony,C,,38:02,4.0,10.0,0.4,0.0,2.0,0.0,3.0,3.0,1.0,2.0,6.0,8.0,1.0,3.0,2.0,1.0,4.0,11.0,6.0
0042500403,1610612752,NYK,New York,1628969,Mikal Bridges,Mikal,G,,28:43,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,11.0
0042500403,1610612752,NYK,New York,1628973,Jalen Brunson,Jalen,G,,35:27,11.0,25.0,0.44,3.0,5.0,0.6,7.0,8.0,0.875,2.0,3.0,5.0,5.0,0.0,0.0,5.0,5.0,32.0,-9.0
0042500403,1610612752,NYK,New York,1629013,Landry Shamet,Landry,,,23:24,1.0,8.0,0.125,1.0,7.0,0.143,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,5.0,3.0,-20.0
0042500403,1610612752,NYK,New York,1630540,Miles McBride,Miles,,,8:40,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
0042500403,1610612752,NYK,New York,1629011,Mitchell Robinson,Mitchell,,,7:04,2.0,3.0,0.667,0.0,0.0,0.0,1.0,2.0,0.5,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,-13.0
0042500403,1610612752,NYK,New York,1630631,Jose Alvarado,Jose,,,12:23,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0
0042500403,1610612752,NYK,New York,203903,Jordan Clarkson,Jordan,,,13:15,4.0,7.0,0.571,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,10.0,8.0
0042500403,1610612752,NYK,New York,1631110,Jeremy Sochan,Jeremy,,,0:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0042500403,1610612752,NYK,New York,1642359,Pacôme Dadiet,Pacôme,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500403,1610612752,NYK,New York,1642885,Mohamed Diawara,Mohamed,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500403,1610612752,NYK,New York,1630574,Ariel Hukporti,Ariel,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500403,1610612752,NYK,New York,1642278,Tyler Kolek,Tyler,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0042500404,1610612759,SAS,San Antonio,1630577,Julian Champagnie,Julian,F,,33:00,2.0,9.0,0.222,1.0,7.0,0.143,0.0,0.0,0.0,0.0,5.0,5.0,3.0,4.0,0.0,0.0,1.0,5.0,-4.0
0042500404,1610612759,SAS,San Antonio,1630170,Devin Vassell,Devin,F,,40:21,6.0,9.0,0.667,5.0,8.0,0.625,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,1.0,2.0,18.0,-7.0
0042500404,1610612759,SAS,San Antonio,1641705,Victor Wembanyama,Victor,C,,43:55,9.0,25.0,0.36,2.0,8.0,0.25,4.0,7.0,0.571,5.0,8.0,13.0,1.0,0.0,3.0,0.0,1.0,24.0,1.0
0042500404,1610612759,SAS,San Antonio,1642264,Stephon Castle,Stephon,G,,25:56,2.0,7.0,0.286,1.0,3.0,0.333,8.0,8.0,1.0,2.0,3.0,5.0,5.0,0.0,0.0,3.0,5.0,13.0,-11.0
0042500404,1610612759,SAS,San Antonio,1628368,De'Aaron Fox,De'Aaron,G,,37:25,6.0,16.0,0.375,4.0,9.0,0.444,2.0,2.0,1.0,2.0,3.0,5.0,7.0,2.0,1.0,4.0,3.0,18.0,1.0
0042500404,1610612759,SAS,San Antonio,1642844,Dylan Harper,Dylan,,,32:16,8.0,12.0,0.667,3.0,6.0,0.5,2.0,2.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,3.0,3.0,21.0,12.0
0042500404,1610612759,SAS,San Antonio,1629640,Keldon Johnson,Keldon,,,18:02,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,-1.0
0042500404,1610612759,SAS,San Antonio,1628436,Luke Kornet,Luke,,,4:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,-2.0
0042500404,1610612759,SAS,San Antonio,1642868,Carter Bryant,Carter,,,5:00,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,6.0
